state,date,new_confirmed,new_deaths,estimated_population_2019,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,epidemiological_week
PE,2020-06-15,246,31,9557071,45507,476.16053,0.0854,25
PI,2020-06-15,524,19,3273227,10881,332.42424,0.0361,25
PR,2020-06-15,133,8,11433957,9839,86.0507,0.0348,25
RJ,2020-06-15,1374,56,17264943,80946,468.84603,0.0955,25
RN,2020-06-15,998,32,3506853,15212,433.77923,0.0385,25
RO,2020-06-15,315,8,1777225,12180,685.3381,0.0273,25
RR,2020-06-15,54,13,605761,6935,1144.84095,0.0311,25
RS,2020-06-15,777,10,11377239,15438,135.69197,0.0233,25
SC,2020-06-15,600,4,7164788,13960,194.84177,0.0143,25
SE,2020-06-15,1707,22,2298696,15675,681.90835,0.0225,25
SP,2020-06-15,3258,73,45919049,181460,395.17369,0.0593,25
TO,2020-06-15,172,4,1572866,7309,464.69311,0.0192,25
AC,2020-06-16,232,6,881935,10003,1134.21057,0.0271,25
AL,2020-06-16,706,25,3337357,23632,708.10525,0.0336,25
AM,2020-06-16,1241,38,4144597,58018,1399.8466,0.044,25
AP,2020-06-16,1211,8,845731,18024,2131.1741,0.0187,25
BA,2020-06-16,1586,36,14873064,39206,263.60406,0.0301,25
CE,2020-06-16,2316,151,9132078,82169,899.78426,0.0632,25
DF,2020-06-16,1696,29,3015268,25380,841.71623,0.0137,25
ES,2020-06-16,1378,45,4018650,29030,722.38189,0.039,25
GO,2020-06-16,1395,11,7018354,11836,168.64353,0.021,25
MA,2020-06-16,2119,38,7075181,62711,886.35188,0.0245,25
MG,2020-06-16,296,21,21168791,22024,104.03995,0.0228,25
MS,2020-06-16,379,0,2778986,4164,149.83883,0.0086,25
MT,2020-06-16,487,27,3484466,6877,197.36166,0.0364,25
PA,2020-06-16,2949,59,8602865,74192,862.41037,0.0586,25
PB,2020-06-16,1460,15,4018127,30128,749.80208,0.0223,25
PE,2020-06-16,920,73,9557071,46427,485.78691,0.0853,25
PI,2020-06-16,678,5,3273227,11559,353.13774,0.0344,25
PR,2020-06-16,851,30,11433957,10690,93.49344,0.0348,25
RJ,2020-06-16,2397,239,17264943,83343,482.72966,0.0956,25
RN,2020-06-16,478,41,3506853,15690,447.40969,0.0399,25
RO,2020-06-16,830,14,1777225,13010,732.04012,0.0266,25
RR,2020-06-16,215,8,605761,7150,1180.3335,0.0313,25
