state,date,new_confirmed,new_deaths,estimated_population_2019,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,epidemiological_week
MT,2020-06-18,805,23,3484466,8166,234.35442,0.0361,25
PA,2020-06-18,3449,74,8602865,80072,930.75969,0.0558,25
PB,2020-06-18,1670,13,4018127,33382,830.78509,0.0212,25
PE,2020-06-18,1180,48,9557071,48626,508.79605,0.0834,25
PI,2020-06-18,468,14,3273227,12567,383.93304,0.0346,25
PR,2020-06-18,834,21,11433957,12059,105.46655,0.0344,25
RJ,2020-06-18,354,274,17264943,87317,505.7474,0.0963,25
RN,2020-06-18,150,38,3506853,16039,457.36163,0.0432,25
RO,2020-06-18,237,13,1777225,13804,776.71651,0.0271,25
RR,2020-06-18,229,15,605761,7650,1262.8743,0.0312,25
RS,2020-06-18,694,19,11377239,17822,156.64609,0.0228,25
SC,2020-06-18,558,6,7164788,15573,217.35465,0.0143,25
SE,2020-06-18,531,17,2298696,17338,754.25372,0.0231,25
SP,2020-06-18,1111,325,45919049,192628,419.49475,0.0615,25
TO,2020-06-18,182,7,1572866,7956,505.82821,0.02,25
AC,2020-06-19,323,5,881935,10987,1245.78342,0.0266,25
AL,2020-06-19,1273,17,3337357,26906,806.20683,0.0315,25
AM,2020-06-19,1005,19,4144597,61341,1480.02327,0.0428,25
AP,2020-06-19,535,6,845731,19922,2355.59534,0.0175,25
BA,2020-06-19,2345,42,14873064,43922,295.31238,0.0297,25
CE,2020-06-19,2309,104,9132078,90441,990.36605,0.0608,25
DF,2020-06-19,2381,17,3015268,30902,1024.85086,0.0128,25
ES,2020-06-19,1460,44,4018650,33232,826.94437,0.0381,25
GO,2020-06-19,875,14,7018354,14540,207.17108,0.0199,25
MA,2020-06-19,2409,38,7075181,68500,968.17311,0.024,25
MG,2020-06-19,1146,30,21168791,26052,123.06796,0.023,25
MS,2020-06-19,324,3,2778986,4990,179.5619,0.0086,25
MT,2020-06-19,559,27,3484466,8725,250.39705,0.0369,25
PA,2020-06-19,2809,50,8602865,82881,963.41161,0.0545,25
PB,2020-06-19,1711,15,4018127,35093,873.36712,0.0206,25
PE,2020-06-19,1094,45,9557071,49720,520.24307,0.0825,25
PI,2020-06-19,1246,24,3273227,13813,421.99945,0.0332,25
PR,2020-06-19,873,13,11433957,12932,113.1017,0.0331,25
RJ,2020-06-19,6061,183,17264943,93378,540.85322,0.092,25
RN,2020-06-19,3167,4,3506853,19206,547.67052,0.0363,25
RO,2020-06-19,549,17,1777225,14353,807.60737,0.0272,25
RR,2020-06-19,387,6,605761,8037,1326.76088,0.0305,25
RS,2020-06-19,765,17,11377239,18587,163.37004,0.0228,25
SC,2020-06-19,759,12,7164788,16332,227.94813,0.0143,25
SE,2020-06-19,470,26,2298696,17808,774.70009,0.0239,25
SP,2020-06-19,19030,386,45919049,211658,460.93725,0.0578,25
TO,2020-06-19,247,8,1572866,8203,521.53203,0.0204,25
AC,2020-06-20,276,5,881935,11263,1277.07824,0.0264,25
AL,2020-06-20,792,18,3337357,27698,829.93818,0.0313,25
AM,2020-06-20,1238,26,4144597,62579,1509.89348,0.0423,25
AP,2020-06-20,1652,5,845731,21574,2550.92931,0.0164,25
BA,2020-06-20,1382,45,14873064,45304,304.60435,0.0298,25
CE,2020-06-20,1956,23,9132078,92397,1011.78505,0.0597,25
DF,2020-06-20,1336,9,3015268,32238,1069.1587,0.0126,25
ES,2020-06-20,1006,30,4018650,34238,851.97765,0.0379,25
GO,2020-06-20,910,6,7018354,15450,220.13709,0.0191,25
MA,2020-06-20,1173,39,7075181,69673,984.75219,0.0242,25
MG,2020-06-20,1253,36,21168791,27305,128.98705,0.0233,25
MS,2020-06-20,247,2,2778986,5237,188.45003,0.0086,25
MT,2020-06-20,537,19,3484466,9262,265.8083,0.0368,25
PA,2020-06-20,1773,64,8602865,84654,984.02102,0.0541,25
PB,2020-06-20,1428,19,4018127,36521,908.90606,0.0203,25
PE,2020-06-20,1398,46,9557071,51118,534.87099,0.0811,25
PI,2020-06-20,451,26,3273227,14264,435.7779,0.034,25
PR,2020-06-20,889,9,11433957,13821,120.87679,0.0316,25
RJ,2020-06-20,2159,229,17264943,95537,553.35833,0.0924,25
RN,2020-06-20,84,0,3506853,19290,550.06583,0.0361,25
RO,2020-06-20,599,18,1777225,14952,841.3116,0.0274,25
RR,2020-06-20,83,6,605761,8120,1340.46266,0.0309,25
RS,2020-06-20,551,7,11377239,19138,168.21304,0.0225,25
SC,2020-06-20,776,3,7164788,17108,238.77887,0.0139,25
SE,2020-06-20,641,22,2298696,18449,802.58547,0.0243,25
SP,2020-06-20,4135,262,45919049,215793,469.94222,0.0579,25
TO,2020-06-20,151,8,1572866,8354,531.13234,0.0209,25
AC,2020-06-21,118,3,881935,11381,1290.45791,0.0264,26
AL,2020-06-21,959,18,3337357,28657,858.6735,0.0308,26
AM,2020-06-21,511,7,4144597,63090,1522.22279,0.0421,26
AP,2020-06-21,266,6,845731,21840,2582.3814,0.0164,26
BA,2020-06-21,975,41,14873064,46279,311.15983,0.0301,26
CE,2020-06-21,469,3,9132078,92866,1016.92079,0.0595,26
DF,2020-06-21,989,18,3015268,33227,1101.95843,0.0127,26
ES,2020-06-21,628,31,4018650,34866,867.60479,0.0381,26
GO,2020-06-21,454,11,7018354,15904,226.60584,0.0192,26
MA,2020-06-21,386,37,7075181,70059,990.20788,0.0246,26
MG,2020-06-21,336,25,21168791,27641,130.5743,0.0239,26
MS,2020-06-21,154,2,2778986,5391,193.99162,0.0087,26
MT,2020-06-21,514,29,3484466,9776,280.55949,0.0378,26
PA,2020-06-21,1366,22,8602865,86020,999.89945,0.0535,26
PB,2020-06-21,263,23,4018127,36784,915.4514,0.0208,26
PE,2020-06-21,995,86,9557071,52113,545.28213,0.0812,26
PI,2020-06-21,212,17,3273227,14476,442.25469,0.0347,26
PR,2020-06-21,680,14,11433957,14501,126.82399,0.0311,26
RJ,2020-06-21,596,51,17264943,96133,556.81041,0.0923,26
RN,2020-06-21,667,33,3506853,19957,569.08573,0.0366,26
RO,2020-06-21,229,8,1777225,15181,854.19685,0.0275,26
RR,2020-06-21,68,0,605761,8188,1351.68821,0.0307,26
RS,2020-06-21,210,4,11377239,19348,170.05883,0.0224,26
SC,2020-06-21,474,9,7164788,17582,245.39456,0.014,26
SE,2020-06-21,536,14,2298696,18985,825.90303,0.0243,26
SP,2020-06-21,3392,94,45919049,219185,477.32914,0.0574,26
TO,2020-06-21,123,3,1572866,8477,538.95246,0.021,26
AC,2020-06-22,158,5,881935,11539,1308.37307,0.0264,26
AL,2020-06-22,738,19,3337357,29395,880.7868,0.0307,26
AM,2020-06-22,335,14,4144597,63425,1530.3056,0.0421,26
AP,2020-06-22,3022,13,845731,24862,2939.70541,0.015,26
BA,2020-06-22,807,50,14873064,47086,316.58574,0.0306,26
CE,2020-06-22,1842,95,9132078,94708,1037.09145,0.0593,26
DF,2020-06-22,921,26,3015268,34148,1132.50298,0.0131,26
ES,2020-06-22,1281,59,4018650,36147,899.48117,0.0384,26
GO,2020-06-22,1181,18,7018354,17085,243.43315,0.019,26
MA,2020-06-22,630,39,7075181,70689,999.11225,0.0249,26
MG,2020-06-22,1277,27,21168791,28918,136.60676,0.0238,26
MS,2020-06-22,393,8,2778986,5784,208.13347,0.0095,26
MT,2020-06-22,494,24,3484466,10270,294.7367,0.0384,26
PA,2020-06-22,2616,67,8602865,88636,1030.30793,0.0527,26
PB,2020-06-22,469,18,4018127,37253,927.12351,0.021,26
PE,2020-06-22,381,18,9557071,52494,549.2687,0.081,26
PI,2020-06-22,793,15,3273227,15269,466.48155,0.0339,26
PR,2020-06-22,623,18,11433957,15124,132.27267,0.031,26
RJ,2020-06-22,1439,58,17264943,97572,565.14522,0.0916,26
RN,2020-06-22,118,20,3506853,20075,572.45057,0.0374,26
RO,2020-06-22,646,15,1777225,15827,890.54565,0.0273,26
RR,2020-06-22,2152,-1,605761,10340,1706.94383,0.0242,26
RS,2020-06-22,362,24,11377239,19710,173.24063,0.0232,26
SC,2020-06-22,355,10,7164788,17937,250.34935,0.0143,26
SE,2020-06-22,399,29,2298696,19384,843.2607,0.0253,26
SP,2020-06-22,2788,46,45919049,221973,483.40069,0.0569,26
TO,2020-06-22,289,1,1572866,8766,557.32656,0.0204,26
AC,2020-06-23,271,16,881935,11810,1339.10095,0.0272,26
AL,2020-06-23,851,17,3337357,30246,906.28602,0.0304,26
AM,2020-06-23,1383,15,4144597,64808,1563.67435,0.0414,26
AP,2020-06-23,1575,8,845731,26437,3125.93484,0.0144,26
BA,2020-06-23,1998,50,14873064,49084,330.01942,0.0304,26
CE,2020-06-23,3347,110,9132078,98055,1073.74247,0.0584,26
DF,2020-06-23,1220,26,3015268,35368,1172.96373,0.0134,26
ES,2020-06-23,680,38,4018650,36827,916.40227,0.0387,26
GO,2020-06-23,929,31,7018354,18014,256.66987,0.0197,26
MA,2020-06-23,1332,37,7075181,72021,1017.93862,0.025,26
MG,2020-06-23,979,32,21168791,29897,141.23149,0.0241,26
MS,2020-06-23,417,1,2778986,6201,223.13894,0.009,26
MT,2020-06-23,747,29,3484466,11017,316.1747,0.0384,26
PA,2020-06-23,3072,54,8602865,91708,1066.01696,0.0515,26
PB,2020-06-23,1746,23,4018127,38999,970.57659,0.0207,26
PE,2020-06-23,337,87,9557071,52831,552.79489,0.0821,26
PI,2020-06-23,958,17,3273227,16227,495.7493,0.0329,26
PR,2020-06-23,729,29,11433957,15853,138.64841,0.0314,26
RJ,2020-06-23,3297,220,17264943,100869,584.24172,0.0907,26
RN,2020-06-23,1769,64,3506853,21844,622.89466,0.0373,26
RO,2020-06-23,672,12,1777225,16499,928.35741,0.0269,26
RR,2020-06-23,463,9,605761,10803,1783.37661,0.024,26
RS,2020-06-23,1154,19,11377239,20864,183.38368,0.0229,26
SC,2020-06-23,1307,7,7164788,19244,268.59134,0.0137,26
SE,2020-06-23,499,20,2298696,19883,864.96866,0.0257,26
SP,2020-06-23,7502,434,45919049,229475,499.73814,0.0569,26
TO,2020-06-23,332,2,1572866,9098,578.43453,0.0199,26
AC,2020-06-24,212,5,881935,12022,1363.13901,0.0271,26
AL,2020-06-24,984,18,3337357,31230,935.77043,0.03,26
AM,2020-06-24,1698,24,4144597,66506,1604.64335,0.0407,26
AP,2020-06-24,482,7,845731,26919,3182.92696,0.0144,26
BA,2020-06-24,2847,50,14873064,51931,349.16141,0.0297,26
CE,2020-06-24,1523,87,9132078,99578,1090.41995,0.0584,26
DF,2020-06-24,1886,20,3015268,37254,1235.51207,0.0133,26
ES,2020-06-24,1656,38,4018650,38483,957.61014,0.038,26
GO,2020-06-24,1266,20,7018354,19280,274.70829,0.0195,26
MA,2020-06-24,1293,39,7075181,73314,1036.21377,0.025,26
MG,2020-06-24,1446,51,21168791,31343,148.06231,0.0246,26
MS,2020-06-24,322,5,2778986,6523,234.7259,0.0094,26
MT,2020-06-24,554,22,3484466,11571,332.07384,0.0385,26
PA,2020-06-24,2328,22,8602865,94036,1093.07771,0.0505,26
PB,2020-06-24,913,21,4018127,39912,993.29862,0.0207,26
PE,2020-06-24,1191,86,9557071,54022,565.25687,0.0819,26
PI,2020-06-24,853,12,3273227,17080,521.80921,0.032,26
PR,2020-06-24,1110,23,11433957,16963,148.35634,0.0307,26
RJ,2020-06-24,2624,142,17264943,103493,599.44015,0.0898,26
RN,2020-06-24,894,51,3506853,22738,648.3876,0.038,26
RO,2020-06-24,925,11,1777225,17424,980.40484,0.0261,26
RR,2020-06-24,1069,12,605761,11872,1959.84885,0.0228,26
RS,2020-06-24,1145,23,11377239,22009,193.44764,0.0227,26
SC,2020-06-24,1677,16,7164788,20921,291.99747,0.0133,26
SE,2020-06-24,470,13,2298696,20353,885.41504,0.0257,26
SP,2020-06-24,9347,284,45919049,238822,520.09352,0.0559,26
TO,2020-06-24,327,2,1572866,9425,599.2246,0.0194,26
AC,2020-06-25,282,9,881935,12304,1395.11415,0.0272,26
AL,2020-06-25,835,20,3337357,32065,960.79023,0.0299,26
AM,2020-06-25,761,21,4144597,67267,1623.0046,0.0406,26
AP,2020-06-25,496,7,845731,27415,3241.57445,0.0144,26
BA,2020-06-25,2360,60,14873064,54291,365.02902,0.0295,26
CE,2020-06-25,3540,80,9132078,103118,1129.1844,0.0572,26
DF,2020-06-25,1617,14,3015268,38871,1289.13914,0.0131,26
ES,2020-06-25,1923,27,4018650,40406,1005.46203,0.0369,26
GO,2020-06-25,1097,9,7018354,20377,290.33873,0.0188,26
MA,2020-06-25,1611,35,7075181,74925,1058.98351,0.025,26
MG,2020-06-25,1426,35,21168791,32769,154.79864,0.0246,26
MS,2020-06-25,390,4,2778986,6913,248.7598,0.0094,26
MT,2020-06-25,1030,31,3484466,12601,361.6336,0.0378,26
PA,2020-06-25,2436,55,8602865,96472,1121.39386,0.0498,26
PB,2020-06-25,912,14,4018127,40824,1015.99576,0.0206,26
PE,2020-06-25,1114,63,9557071,55136,576.91316,0.0814,26
PI,2020-06-25,943,28,3273227,18023,550.6187,0.0318,26
PR,2020-06-25,859,18,11433957,17822,155.86905,0.0302,26
RJ,2020-06-25,2404,155,17264943,105897,613.36432,0.0892,26
RN,2020-06-25,1068,31,3506853,23806,678.84226,0.0376,26
RO,2020-06-25,0,0,1777225,17424,980.40484,0.0261,26
RR,2020-06-25,1039,2,605761,12911,2131.36864,0.0211,26
RS,2020-06-25,1051,0,11377239,23060,202.68538,0.0217,26
SC,2020-06-25,1030,10,7164788,21951,306.37334,0.0132,26
SE,2020-06-25,728,30,2298696,21081,917.08516,0.0263,26
SP,2020-06-25,9765,407,45919049,248587,541.35921,0.0553,26
TO,2020-06-25,256,3,1572866,9681,615.50062,0.0192,26
AC,2020-06-26,340,8,881935,12644,1433.66575,0.0271,26
AL,2020-06-26,799,17,3337357,32864,984.73133,0.0297,26
AM,2020-06-26,953,8,4144597,68220,1645.99839,0.0401,26
AP,2020-06-26,247,7,845731,27662,3270.77995,0.0145,26
BA,2020-06-26,2131,41,14873064,56422,379.35694,0.0291,26
CE,2020-06-26,2152,67,9132078,105270,1152.74968,0.0566,26
DF,2020-06-26,2455,23,3015268,41326,1370.55811,0.0129,26
ES,2020-06-26,1246,17,4018650,41652,1036.46747,0.0362,26
GO,2020-06-26,1064,41,7018354,21441,305.49898,0.0198,26
MA,2020-06-26,1773,35,7075181,76698,1084.04294,0.0249,26
MG,2020-06-26,6122,27,21168791,38891,183.71857,0.0214,26
MS,2020-06-26,394,3,2778986,7307,262.93763,0.0093,26
MT,2020-06-26,805,28,3484466,13406,384.73614,0.0376,26
PA,2020-06-26,2841,31,8602865,99313,1154.41774,0.0487,26
PB,2020-06-26,2008,22,4018127,42832,1065.96929,0.0202,26
PE,2020-06-26,668,122,9557071,55804,583.90275,0.0826,26
PI,2020-06-26,642,18,3273227,18665,570.23237,0.0317,26
PR,2020-06-26,850,25,11433957,18672,163.30305,0.0302,26
RJ,2020-06-26,2600,137,17264943,108497,628.42374,0.0884,26
RN,2020-06-26,447,13,3506853,24253,691.58873,0.0375,26
RO,2020-06-26,1847,21,1777225,19271,1084.33091,0.0247,26
RR,2020-06-26,167,8,605761,13078,2158.93727,0.0215,26
RS,2020-06-26,1054,40,11377239,24114,211.94949,0.0224,26
SC,2020-06-26,996,9,7164788,22947,320.27465,0.013,26
SE,2020-06-26,827,25,2298696,21908,953.06208,0.0264,26
SP,2020-06-26,9921,207,45919049,258508,562.96462,0.054,26
TO,2020-06-26,285,5,1572866,9966,633.62041,0.0192,26
AC,2020-06-27,269,8,881935,12913,1464.16686,0.0272,26
AL,2020-06-27,657,18,3337357,33521,1004.41757,0.0296,26
AM,2020-06-27,802,33,4144597,69022,1665.34889,0.0402,26
AP,2020-06-27,239,5,845731,27901,3299.03953,0.0146,26
BA,2020-06-27,8822,55,14873064,65244,438.67222,0.026,26
CE,2020-06-27,1794,25,9132078,107064,1172.39472,0.0559,26
DF,2020-06-27,1440,5,3015268,42766,1418.31506,0.0126,26
ES,2020-06-27,0,0,4018650,41652,1036.46747,0.0362,26
GO,2020-06-27,424,9,7018354,21865,311.54028,0.0198,26
MA,2020-06-27,1417,37,7075181,78115,1104.07069,0.0249,26
MG,2020-06-27,2075,49,21168791,40966,193.52074,0.0215,26
MS,2020-06-27,220,4,2778986,7527,270.85419,0.0096,26
MT,2020-06-27,722,29,3484466,14128,405.45668,0.0377,26
PA,2020-06-27,1130,11,8602865,100443,1167.5529,0.0482,26
PB,2020-06-27,1410,32,4018127,44242,1101.06027,0.0203,26
PE,2020-06-27,1285,98,9557071,57089,597.34829,0.0825,26
PI,2020-06-27,493,23,3273227,19158,585.29396,0.0321,26
PR,2020-06-27,1147,11,11433957,19819,173.33457,0.029,26
RJ,2020-06-27,306,202,17264943,108803,630.19611,0.09,26
RN,2020-06-27,48,28,3506853,24301,692.95747,0.0386,26
RO,2020-06-27,464,5,1777225,19735,1110.43903,0.0244,26
RR,2020-06-27,1263,0,605761,14341,2367.43534,0.0196,26
RS,2020-06-27,886,14,11377239,25000,219.73697,0.0222,26
SC,2020-06-27,861,6,7164788,23808,332.29176,0.0128,26
SE,2020-06-27,1411,26,2298696,23319,1014.44471,0.0259,26
SP,2020-06-27,7073,297,45919049,265581,578.36781,0.0537,26
TO,2020-06-27,262,1,1572866,10228,650.2779,0.0188,26
AC,2020-06-28,145,2,881935,13058,1480.60798,0.027,27
AL,2020-06-28,791,19,3337357,34312,1028.11896,0.0295,27
AM,2020-06-28,627,10,4144597,69649,1680.47702,0.0399,27
AP,2020-06-28,84,1,845731,27985,3308.97177,0.0145,27
BA,2020-06-28,3251,51,14873064,68495,460.53053,0.0255,27
CE,2020-06-28,529,8,9132078,107593,1178.18748,0.0557,27
DF,2020-06-28,2139,11,3015268,44905,1489.25402,0.0122,27
ES,2020-06-28,2031,59,4018650,43683,1087.00683,0.0358,27
GO,2020-06-28,300,2,7018354,22165,315.81479,0.0197,27
MA,2020-06-28,397,39,7075181,78512,1109.68186,0.0252,27
MG,2020-06-28,1775,17,21168791,42741,201.90572,0.021,27
MS,2020-06-28,149,3,2778986,7676,276.21586,0.0098,27
MT,2020-06-28,526,23,3484466,14654,420.55225,0.0379,27
PA,2020-06-28,764,25,8602865,101207,1176.43366,0.0481,27
PB,2020-06-28,437,15,4018127,44679,1111.93598,0.0204,27
PE,2020-06-28,1018,43,9557071,58107,608.00009,0.0818,27
PI,2020-06-28,595,28,3273227,19753,603.47174,0.0326,27
PR,2020-06-28,923,24,11433957,20742,181.40701,0.0289,27
RJ,2020-06-28,2495,30,17264943,111298,644.64736,0.0882,27
RN,2020-06-28,5483,62,3506853,29784,849.30848,0.0335,27
RO,2020-06-28,85,5,1777225,19820,1115.22176,0.0245,27
RR,2020-06-28,118,0,605761,14459,2386.91497,0.0194,27
RS,2020-06-28,243,5,11377239,25243,221.87281,0.0221,27
SC,2020-06-28,556,8,7164788,24364,340.05193,0.0128,27
SE,2020-06-28,1102,15,2298696,24421,1062.38493,0.0254,27
SP,2020-06-28,6156,75,45919049,271737,591.77402,0.0528,27
TO,2020-06-28,131,3,1572866,10359,658.60665,0.0188,27
AC,2020-06-29,88,8,881935,13146,1490.58604,0.0275,27
AL,2020-06-29,804,20,3337357,35116,1052.20988,0.0294,27
AM,2020-06-29,244,10,4144597,69893,1686.3642,0.0399,27
AP,2020-06-29,268,6,845731,28253,3340.66033,0.0146,27
BA,2020-06-29,972,52,14873064,69467,467.06583,0.0259,27
CE,2020-06-29,632,81,9132078,108225,1185.10814,0.0561,27
DF,2020-06-29,2166,11,3015268,47071,1561.08843,0.0119,27
ES,2020-06-29,1414,54,4018650,45097,1122.19278,0.0359,27
GO,2020-06-29,1214,31,7018354,23379,333.11229,0.02,27
MA,2020-06-29,457,30,7075181,78969,1116.14106,0.0255,27
MG,2020-06-29,1123,41,21168791,43864,207.2107,0.0214,27
MS,2020-06-29,289,1,2778986,7965,286.61533,0.0095,27
MT,2020-06-29,674,34,3484466,15328,439.89524,0.0385,27
PA,2020-06-29,1999,50,8602865,103206,1199.67011,0.0477,27
PB,2020-06-29,378,20,4018127,45057,1121.34335,0.0207,27
PE,2020-06-29,369,31,9557071,58476,611.8611,0.0818,27
PI,2020-06-29,669,20,3273227,20422,623.91029,0.0325,27
PR,2020-06-29,584,14,11433957,21326,186.51461,0.0287,27
RJ,2020-06-29,585,29,17264943,111883,648.03573,0.088,27
RN,2020-06-29,568,40,3506853,30352,865.50534,0.0342,27
RO,2020-06-29,586,13,1777225,20406,1148.19452,0.0245,27
RR,2020-06-29,182,2,605761,14641,2416.95982,0.0193,27
RS,2020-06-29,416,23,11377239,25659,225.52923,0.0227,27
SC,2020-06-29,692,12,7164788,25056,349.71028,0.0129,27
SE,2020-06-29,396,33,2298696,24817,1079.61209,0.0263,27
SP,2020-06-29,3408,60,45919049,275145,599.19577,0.0523,27
TO,2020-06-29,405,5,1572866,10764,684.35582,0.0186,27
AC,2020-06-30,107,4,881935,13253,1502.71845,0.0275,27
AL,2020-06-30,846,20,3337357,35962,1077.55928,0.0293,27
AM,2020-06-30,930,31,4144597,70823,1708.80305,0.0399,27
AP,2020-06-30,239,4,845731,28492,3368.9199,0.0146,27
BA,2020-06-30,3840,53,14873064,73307,492.88432,0.0253,27
CE,2020-06-30,2258,70,9132078,110483,1209.83417,0.0556,27
DF,2020-06-30,2147,28,3015268,49218,1632.29272,0.0119,27
ES,2020-06-30,1796,27,4018650,46893,1166.8844,0.0351,27
GO,2020-06-30,1531,24,7018354,24910,354.92653,0.0197,27
MA,2020-06-30,1482,36,7075181,80451,1137.08752,0.0255,27
MG,2020-06-30,1137,25,21168791,45001,212.58181,0.0214,27
MS,2020-06-30,711,9,2778986,8676,312.20021,0.0098,27
MT,2020-06-30,976,39,3484466,16304,467.90527,0.0386,27
PA,2020-06-30,2647,40,8602865,105853,1230.43893,0.0469,27
PB,2020-06-30,1900,46,4018127,46957,1168.62907,0.0208,27
PE,2020-06-30,382,47,9557071,58858,615.85814,0.082,27
PI,2020-06-30,1637,23,3273227,22059,673.9221,0.0311,27
PR,2020-06-30,1551,36,11433957,22877,200.07947,0.0284,27
RJ,2020-06-30,728,232,17264943,112611,652.25237,0.0895,27
RN,2020-06-30,1612,33,3506853,31964,911.47248,0.0335,27
RO,2020-06-30,845,19,1777225,21251,1195.74055,0.0244,27
RR,2020-06-30,512,31,605761,15153,2501.48161,0.0207,27
RS,2020-06-30,1282,32,11377239,26941,236.79735,0.0228,27
SC,2020-06-30,1298,17,7164788,26354,367.82665,0.0129,27
SE,2020-06-30,594,23,2298696,25411,1105.45283,0.0266,27
SP,2020-06-30,6235,365,45919049,281380,612.77401,0.0525,27
TO,2020-06-30,458,4,1572866,11222,713.47464,0.0182,27
AC,2020-07-01,462,5,881935,13715,1555.10327,0.027,27
AL,2020-07-01,857,20,3337357,36819,1103.23828,0.0291,27
AM,2020-07-01,1461,20,4144597,72284,1744.05376,0.0393,27
AP,2020-07-01,435,3,845731,28927,3420.3547,0.0145,27
BA,2020-07-01,3178,49,14873064,76485,514.2518,0.0249,27
CE,2020-07-01,3555,57,9132078,114038,1248.76288,0.0544,27
DF,2020-07-01,1458,33,3015268,50676,1680.64663,0.0122,27
ES,2020-07-01,1928,45,4018650,48821,1214.86071,0.0347,27
GO,2020-07-01,1235,30,7018354,26145,372.52324,0.0199,27
MA,2020-07-01,2805,33,7075181,83256,1176.73315,0.025,27
MG,2020-07-01,2583,42,21168791,47584,224.78374,0.0212,27
MS,2020-07-01,386,6,2778986,9062,326.09016,0.01,27
MT,2020-07-01,1097,36,3484466,17401,499.38785,0.0382,27
PA,2020-07-01,2214,44,8602865,108067,1256.17454,0.0463,27
PB,2020-07-01,1218,25,4018127,48175,1198.9417,0.0208,27
PE,2020-07-01,847,65,9557071,59705,624.72069,0.082,27
PI,2020-07-01,1248,11,3273227,23307,712.04961,0.0299,27
PR,2020-07-01,1348,14,11433957,24225,211.86891,0.0274,27
RJ,2020-07-01,2667,118,17264943,115278,667.69986,0.0885,27
RN,2020-07-01,998,36,3506853,32962,939.93104,0.0336,27
RO,2020-07-01,272,5,1777225,21523,1211.04531,0.0243,27
RR,2020-07-01,2430,40,605761,17583,2902.62992,0.0201,27
RS,2020-07-01,1230,22,11377239,28171,247.6084,0.0226,27
SC,2020-07-01,925,6,7164788,27279,380.73702,0.0127,27
SE,2020-07-01,1201,49,2298696,26612,1157.69984,0.0272,27
SP,2020-07-01,8555,267,45919049,289935,631.40463,0.0518,27
TO,2020-07-01,232,5,1572866,11454,728.22478,0.0182,27
AC,2020-07-02,333,8,881935,14048,1592.86115,0.0269,27
AL,2020-07-02,509,19,3337357,37328,1118.48987,0.0292,27
AM,2020-07-02,1246,19,4144597,73530,1774.117,0.0389,27
AP,2020-07-02,226,7,845731,29153,3447.07714,0.0146,27
BA,2020-07-02,2864,45,14873064,79349,533.50809,0.0245,27
CE,2020-07-02,2481,104,9132078,116519,1275.93085,0.0541,27
DF,2020-07-02,1605,11,3015268,52281,1733.87573,0.0121,27
ES,2020-07-02,1421,35,4018650,50242,1250.22085,0.0344,27
GO,2020-07-02,173,51,7018354,26318,374.98821,0.0217,27
MA,2020-07-02,2769,38,7075181,86025,1215.86995,0.0246,27
MG,2020-07-02,3123,52,21168791,50707,239.53659,0.0209,27
MS,2020-07-02,326,16,2778986,9388,337.82106,0.0114,27
MT,2020-07-02,955,41,3484466,18356,526.79521,0.0385,27
PA,2020-07-02,2344,46,8602865,110411,1283.42128,0.0457,27
PB,2020-07-02,1361,42,4018127,49536,1232.8132,0.0211,27
PE,2020-07-02,1414,74,9557071,61119,639.51602,0.0813,27
PI,2020-07-02,1069,29,3273227,24376,744.70851,0.0298,27
PR,2020-07-02,2079,43,11433957,26304,230.05159,0.0268,27
RJ,2020-07-02,1545,134,17264943,116823,676.64863,0.0884,27
RN,2020-07-02,525,69,3506853,33487,954.90173,0.0351,27
RO,2020-07-02,447,7,1777225,21970,1236.19688,0.0241,27
RR,2020-07-02,740,4,605761,18323,3024.79031,0.0195,27
RS,2020-07-02,1024,27,11377239,29195,256.60883,0.0227,27
SC,2020-07-02,1296,15,7164788,28575,398.82548,0.0127,27
SE,2020-07-02,0,0,2298696,26612,1157.69984,0.0272,27
SP,2020-07-02,12244,321,45919049,302179,658.06894,0.0508,27
TO,2020-07-02,282,2,1572866,11736,746.15384,0.018,27
AC,2020-07-03,64,9,881935,14112,1600.11792,0.0274,27
AL,2020-07-03,1076,22,3337357,38404,1150.73095,0.029,27
AM,2020-07-03,1007,25,4144597,74537,1798.41369,0.0387,27
AP,2020-07-03,421,11,845731,29574,3496.85657,0.0148,27
BA,2020-07-03,2965,54,14873064,82314,553.44346,0.0243,27
CE,2020-07-03,1792,66,9132078,118311,1295.55398,0.053900000000000003,27
DF,2020-07-03,1715,12,3015268,53996,1790.75293,0.0119,27
ES,2020-07-03,1447,31,4018650,51689,1286.22796,0.034,27
GO,2020-07-03,1184,30,7018354,27502,391.85826,0.0219,27
MA,2020-07-03,2189,34,7075181,88214,1246.80909,0.0244,27
MG,2020-07-03,2644,51,21168791,53351,252.02667,0.0208,27
MS,2020-07-03,522,7,2778986,9910,356.60489,0.0115,27
MT,2020-07-03,1184,35,3484466,19540,560.77459,0.0379,27
PA,2020-07-03,2120,19,8602865,112531,1308.06423,0.045,27
PB,2020-07-03,1229,18,4018127,50765,1263.39959,0.0209,27
PE,2020-07-03,1243,100,9557071,62362,652.5221,0.0813,27
PI,2020-07-03,1185,36,3273227,25561,780.91131,0.0298,27
PR,2020-07-03,1862,21,11433957,28166,246.33642,0.0258,27
RJ,2020-07-03,2133,168,17264943,118956,689.00314,0.0883,27
RN,2020-07-03,835,28,3506853,34322,978.71225,0.0351,27
